ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),Temperature (C)
2019-10-08T11:55:11.000,8.41,95.63,21.73
2019-10-08T11:55:31.000,8.38,95.40,21.73
2019-10-08T11:56:11.000,8.41,95.63,21.73
2019-10-08T11:56:31.000,8.38,95.40,21.73
2019-10-08T11:57:11.000,8.41,95.63,21.73
2019-10-08T11:57:31.000,8.38,95.40,21.73
2019-10-08T11:58:11.000,8.41,95.63,21.73
2019-10-08T11:58:31.000,8.38,95.40,21.73
2019-10-08T11:58:51.000,8.40,95.58,21.73
2019-10-08T11:59:11.000,8.38,95.40,21.73
2019-10-08T11:59:31.000,8.40,95.54,21.73
2019-10-08T11:59:51.000,8.39,95.50,21.73
2019-10-08T12:00:11.000,8.40,95.61,21.73
2019-10-08T12:00:31.000,8.40,95.56,21.73
2019-10-08T12:00:51.000,8.39,95.51,21.73
2019-10-08T12:01:11.000,8.41,95.70,21.73
2019-10-08T12:01:31.000,8.40,95.53,21.73
2019-10-08T12:01:51.000,8.39,95.49,21.73
2019-10-08T12:02:11.000,8.39,95.46,21.73
2019-10-08T12:02:31.000,8.40,95.57,21.73
2019-10-08T12:02:51.000,8.41,95.69,21.73
2019-10-08T12:03:11.000,8.39,95.49,21.73
2019-10-08T12:03:31.000,8.40,95.55,21.73
2019-10-08T12:03:51.000,8.40,95.55,21.73
2019-10-08T12:04:11.000,8.39,95.46,21.73
2019-10-08T12:04:31.000,8.40,95.61,21.73
2019-10-08T12:04:51.000,8.40,95.60,21.73
2019-10-08T12:05:11.000,8.41,95.66,21.73
2019-10-08T12:05:31.000,8.40,95.55,21.73
2019-10-08T12:05:51.000,8.40,95.59,21.74
2019-10-08T12:06:11.000,8.40,95.59,21.74
