ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2019-12-06T19:21:25.000,8.29,94.30,21.71
2019-12-06T19:21:35.000,8.29,94.25,21.71
2019-12-06T19:21:45.000,8.29,94.29,21.70
2019-12-06T19:21:55.000,8.30,94.37,21.70
2019-12-06T19:22:05.000,8.30,94.34,21.69
2019-12-06T19:22:15.000,8.31,94.46,21.69
2019-12-06T19:22:25.000,8.31,94.50,21.70
2019-12-06T19:22:35.000,8.30,94.37,21.70
2019-12-06T19:22:45.000,8.30,94.36,21.71
2019-12-06T19:22:55.000,8.31,94.46,21.71
2019-12-06T19:23:05.000,8.30,94.43,21.71
2019-12-06T19:23:15.000,8.29,94.28,21.71
2019-12-06T19:23:25.000,8.30,94.35,21.71
2019-12-06T19:23:35.000,8.30,94.38,21.71
2019-12-06T19:23:45.000,8.29,94.27,21.71
2019-12-06T19:23:55.000,8.30,94.41,21.72
2019-12-06T19:24:05.000,8.30,94.45,21.73
2019-12-06T19:24:15.000,8.28,94.25,21.73
2019-12-06T19:24:25.000,8.29,94.30,21.73
2019-12-06T19:24:35.000,8.29,94.35,21.73
2019-12-06T19:24:45.000,8.29,94.31,21.73
2019-12-06T19:24:55.000,8.29,94.35,21.73
2019-12-06T19:25:05.000,8.30,94.44,21.73
2019-12-06T19:25:15.000,8.28,94.27,21.73
2019-12-06T19:25:25.000,8.30,94.41,21.73
2019-12-06T19:25:35.000,8.30,94.41,21.74
2019-12-06T19:25:45.000,8.29,94.42,21.75
2019-12-06T19:25:55.000,8.28,94.25,21.75
2019-12-06T19:26:05.000,8.29,94.37,21.75
2019-12-06T19:26:15.000,8.29,94.34,21.75
2019-12-06T19:26:25.000,8.30,94.49,21.75
2019-12-06T19:26:35.000,8.26,94.09,21.78
2019-12-06T19:26:45.000,8.24,93.87,21.76
2019-12-06T19:26:55.000,8.25,93.92,21.73
2019-12-06T19:27:05.000,8.25,93.92,21.73
2019-12-06T19:27:15.000,8.25,93.82,21.71
2019-12-06T19:27:25.000,8.25,93.83,21.71
2019-12-06T19:27:35.000,8.25,93.78,21.71
2019-12-06T19:27:45.000,8.24,93.69,21.69
2019-12-06T19:27:55.000,8.25,93.78,21.69
2019-12-06T19:28:05.000,8.24,93.67,21.68
2019-12-06T19:28:15.000,8.22,93.43,21.67
2019-12-06T19:28:25.000,8.22,93.42,21.65
2019-12-06T19:28:35.000,8.23,93.51,21.64
2019-12-06T19:28:45.000,8.25,93.68,21.64
2019-12-06T19:28:55.000,8.23,93.45,21.64
2019-12-06T19:29:05.000,8.23,93.50,21.63
2019-12-06T19:29:15.000,8.24,93.56,21.62
2019-12-06T19:29:25.000,8.23,93.41,21.62
2019-12-06T19:29:35.000,8.24,93.49,21.61
2019-12-06T19:29:45.000,8.23,93.38,21.60
2019-12-06T19:29:55.000,8.23,93.36,21.60
2019-12-06T19:30:05.000,8.23,93.41,21.58
2019-12-06T19:30:15.000,8.22,93.30,21.58
