ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2019-06-23T13:11:00.000,0.7466,-0.6778,0.0339,17.93,194.42,88.12
2019-06-23T13:12:00.000,0.6424,-0.7483,0.1302,-55.57,118.71,179.45
2019-06-23T13:13:00.000,0.6434,-0.7443,0.1291,-55.59,117.79,178.63
2019-06-23T13:14:00.000,0.6444,-0.7463,0.1262,-52.97,120.57,178.67
2019-06-23T13:15:00.000,0.6443,-0.7463,0.1302,-53.87,120.57,177.81
2019-06-23T13:16:00.000,0.6453,-0.7473,0.1322,-51.27,120.58,177.04
2019-06-23T13:17:00.000,0.6443,-0.7473,0.1312,-53.85,120.57,178.65
2019-06-23T13:18:00.000,0.6443,-0.7453,0.1302,-54.79,118.74,176.14
2019-06-23T13:19:00.000,0.6463,-0.7463,0.1272,-56.46,118.71,178.60
2019-06-23T13:20:00.000,0.6423,-0.7463,0.1331,-53.81,116.86,180.35
2019-06-23T13:21:00.000,0.6424,-0.7443,0.1311,-54.72,117.79,178.65
2019-06-23T13:22:00.000,0.6463,-0.7463,0.1322,-54.67,120.55,180.30
2019-06-23T13:23:00.000,0.6443,-0.7473,0.1302,-56.44,119.63,179.42
2019-06-23T13:24:00.000,0.6454,-0.7453,0.1282,-55.61,120.57,177.77
2019-06-23T13:25:00.000,0.6433,-0.7463,0.1312,-53.82,120.56,179.48
2019-06-23T13:26:00.000,0.6443,-0.7473,0.1302,-53.80,119.63,180.33
2019-06-23T13:27:00.000,0.6414,-0.7473,0.1321,-55.57,121.48,179.43
2019-06-23T13:28:00.000,0.6423,-0.7472,0.1341,-55.57,120.56,179.44
2019-06-23T13:29:00.000,0.6424,-0.7463,0.1292,-57.29,122.40,180.22
2019-06-23T13:30:00.000,0.6444,-0.7483,0.1272,-55.63,121.50,176.93
2019-06-23T13:31:00.000,0.6433,-0.7473,0.1322,-53.85,116.87,178.68
2019-06-23T13:32:00.000,0.6443,-0.7463,0.1322,-53.80,119.63,180.33
2019-06-23T13:33:00.000,0.6463,-0.7463,0.1302,-54.70,119.63,179.47
2019-06-23T13:34:00.000,0.6424,-0.7483,0.1312,-56.49,119.65,177.75
2019-06-23T13:35:00.000,0.6424,-0.7473,0.1312,-56.48,120.57,177.75
2019-06-23T13:36:00.000,0.6434,-0.7473,0.1292,-56.48,121.49,177.74
2019-06-23T13:37:00.000,0.6463,-0.7453,0.1312,-53.85,119.64,178.66
2019-06-23T13:38:00.000,0.6443,-0.7463,0.1332,-56.51,119.65,176.92
2019-06-23T13:39:00.000,0.6443,-0.7473,0.1312,-56.51,121.50,176.91
2019-06-23T13:40:00.000,0.6424,-0.7473,0.1322,-56.46,122.41,178.57
2019-06-23T13:41:00.000,0.6444,-0.7463,0.1292,-56.44,120.56,179.42
2019-06-23T13:42:00.000,0.6443,-0.7473,0.1322,-55.61,120.57,177.77
2019-06-23T13:43:00.000,0.6443,-0.7473,0.1302,-58.16,119.62,180.22
2019-06-23T13:44:00.000,0.6463,-0.7473,0.1292,-54.74,119.65,177.80
2019-06-23T13:45:00.000,0.6443,-0.7443,0.1301,-55.59,120.56,178.60
2019-06-23T13:46:00.000,0.6423,-0.7503,0.1322,-56.42,122.40,180.24
2019-06-23T13:47:00.000,0.6453,-0.7493,0.1302,-54.63,119.61,181.97
2019-06-23T13:48:00.000,0.6414,-0.7473,0.1311,-56.46,120.56,178.58
2019-06-23T13:49:00.000,0.6424,-0.7483,0.1312,-56.49,118.72,177.76
2019-06-23T13:50:00.000,0.6443,-0.7483,0.1302,-56.48,121.49,177.74
2019-06-23T13:51:00.000,0.6434,-0.7453,0.1282,-53.83,119.63,179.49
2019-06-23T13:52:00.000,0.6423,-0.7473,0.1331,-53.78,119.62,181.16
2019-06-23T13:53:00.000,0.6423,-0.7453,0.1331,-53.85,117.79,178.67
2019-06-23T13:54:00.000,0.6443,-0.7463,0.1312,-54.68,119.63,180.30
2019-06-23T13:55:00.000,0.6443,-0.7453,0.1312,-53.80,120.55,180.32
2019-06-23T13:56:00.000,0.6453,-0.7442,0.1331,-55.61,119.65,177.78
2019-06-23T13:57:00.000,0.6433,-0.7483,0.1312,-54.70,119.63,179.47
2019-06-23T13:58:00.000,0.6453,-0.7443,0.1302,-57.31,119.63,179.40
2019-06-23T13:59:00.000,0.6423,-0.7483,0.1332,-54.72,119.64,178.63
2019-06-23T14:00:00.000,0.6414,-0.7463,0.1321,-57.34,119.64,178.57
2019-06-23T14:01:00.000,0.6434,-0.7443,0.1311,-52.95,119.64,179.51
2019-06-23T14:02:00.000,0.6433,-0.7453,0.1321,-55.59,119.64,178.61
2019-06-23T14:03:00.000,0.6433,-0.7473,0.1312,-54.67,121.47,180.29
2019-06-23T14:04:00.000,0.6453,-0.7483,0.1312,-54.68,117.78,180.32
2019-06-23T14:05:00.000,0.6463,-0.7453,0.1312,-56.46,119.64,178.59
2019-06-23T14:06:00.000,0.6463,-0.7443,0.1282,-57.27,120.54,181.07
2019-06-23T14:07:00.000,0.6453,-0.7453,0.1322,-57.31,120.55,179.40
2019-06-23T14:08:00.000,0.6453,-0.7473,0.1292,-54.74,119.65,177.80
2019-06-23T14:09:00.000,0.6443,-0.7463,0.1312,-55.59,121.49,178.60
2019-06-23T14:10:00.000,0.6443,-0.7463,0.1312,-54.74,118.72,177.81
2019-06-23T14:11:00.000,0.6424,-0.7453,0.1321,-52.96,116.86,179.53
2019-06-23T14:12:00.000,0.6433,-0.7433,0.1321,-55.59,120.56,178.60
2019-06-23T14:13:00.000,0.6463,-0.7463,0.1312,-57.34,118.71,178.57
2019-06-23T14:14:00.000,0.6453,-0.7453,0.1312,-58.18,121.48,179.37
2019-06-23T14:15:00.000,0.6434,-0.7473,0.1292,-53.82,120.56,179.48
2019-06-23T14:16:00.000,0.6434,-0.7483,0.1292,-55.59,117.79,178.63
